lowAlpha_values,highAlpha_values,lowBeta_values,highBeta_values,lowGamma_values,highGamma_values,delta_values,theta_values,attention_values,meditation_values
110267.0,64728.0,66837.0,514973.0,41964.0,133387.0,155476.0,32926.0,0.0,0.0
13982.0,6062.0,12001.0,161946.0,7550.0,55998.0,91766.0,20253.0,0.0,0.0
16762.0,21045.0,11987.0,925727.0,20315.0,37086.0,125256.0,12410.0,0.0,0.0
5851.0,1692.0,7070.0,146802.0,2426.0,6460.0,7080.0,1069.0,0.0,0.0
44307.0,48891.0,90502.0,527881.0,18927.0,59635.0,1204730.0,111289.0,0.0,0.0
32877.0,20561.0,17925.0,1103367.0,21860.0,35027.0,7188.0,5350.0,0.0,0.0
81076.0,16494.0,18969.0,34087.0,4896.0,92783.0,149682.0,2165.0,0.0,0.0
16804.0,16142.0,12056.0,128501.0,7981.0,55150.0,31575.0,13000.0,0.0,0.0
20300.0,19882.0,60239.0,929998.0,30625.0,15499.0,35262.0,21385.0,0.0,0.0
3778.0,2476.0,3882.0,145675.0,2751.0,3150.0,4033.0,2430.0,0.0,0.0
948.0,959.0,2710.0,16866.0,1976.0,2289.0,19785.0,1392.0,0.0,0.0
48051.0,23137.0,13644.0,519014.0,11820.0,51936.0,59494.0,6993.0,0.0,0.0
32959.0,24067.0,16930.0,67207.0,10374.0,167250.0,128090.0,15162.0,0.0,0.0
59130.0,17300.0,9826.0,37979.0,20173.0,148446.0,30991.0,7058.0,0.0,0.0
49331.0,13826.0,17397.0,31153.0,22118.0,41746.0,26179.0,16591.0,0.0,0.0
211857.0,137019.0,72048.0,226870.0,48311.0,187978.0,539956.0,35012.0,0.0,0.0
95619.0,160673.0,86409.0,560060.0,23924.0,165291.0,251280.0,42706.0,0.0,0.0
47178.0,9588.0,19333.0,28174.0,14016.0,48859.0,105074.0,16739.0,0.0,0.0
34309.0,27957.0,12290.0,40121.0,3896.0,107670.0,41116.0,16940.0,0.0,0.0
290153.0,63090.0,50624.0,764171.0,18833.0,224226.0,96354.0,29020.0,0.0,0.0
523926.0,59874.0,27403.0,242358.0,15095.0,211117.0,180119.0,47163.0,0.0,0.0
254741.0,134695.0,25961.0,1349090.0,30579.0,124167.0,148610.0,36609.0,0.0,0.0
