lowAlpha_values,highAlpha_values,lowBeta_values,highBeta_values,lowGamma_values,highGamma_values,delta_values,theta_values,attention_values,meditation_values
1712628.0,225843.0,139799.0,2297718.0,52312.0,1273507.0,95022.0,400052.0,0.0,0.0
79488.0,16585.0,11886.0,108502.0,6804.0,84407.0,91779.0,11949.0,0.0,0.0
138251.0,51447.0,16887.0,572790.0,10243.0,530438.0,29292.0,7118.0,0.0,0.0
356466.0,27562.0,27886.0,782030.0,43758.0,209758.0,292648.0,32515.0,0.0,0.0
449784.0,55537.0,28738.0,424894.0,83344.0,215432.0,97635.0,110613.0,0.0,0.0
410584.0,73409.0,37024.0,592398.0,44575.0,262550.0,111970.0,46829.0,0.0,0.0
64611.0,31541.0,16377.0,21831.0,11622.0,234896.0,68583.0,3962.0,0.0,0.0
157135.0,38864.0,27918.0,365142.0,47259.0,403846.0,239051.0,67643.0,0.0,0.0
145384.0,103698.0,40944.0,1110850.0,59582.0,224629.0,175250.0,131526.0,0.0,0.0
223215.0,42487.0,33533.0,927098.0,28801.0,813774.0,124353.0,2738.0,0.0,0.0
539573.0,155029.0,29875.0,516735.0,69417.0,311931.0,153946.0,22937.0,0.0,0.0
524268.0,68223.0,68787.0,824842.0,22802.0,276853.0,120009.0,30081.0,0.0,0.0
280890.0,46789.0,51608.0,1116873.0,61470.0,311789.0,96396.0,42256.0,0.0,0.0
158213.0,164953.0,25517.0,2049953.0,39623.0,119782.0,103948.0,72718.0,0.0,0.0
303673.0,103774.0,34722.0,436747.0,79808.0,217664.0,234635.0,24446.0,0.0,0.0
79107.0,23845.0,14712.0,124022.0,23231.0,106546.0,12002.0,8720.0,0.0,0.0
60297.0,16862.0,15820.0,141275.0,5906.0,64442.0,92949.0,11655.0,0.0,0.0
141541.0,18395.0,23755.0,239834.0,28884.0,585895.0,37953.0,20322.0,0.0,0.0
154723.0,57600.0,37949.0,1341601.0,29285.0,211993.0,287573.0,47911.0,0.0,0.0
303116.0,99137.0,36506.0,650733.0,73297.0,390332.0,114887.0,30413.0,0.0,0.0
217265.0,100261.0,75556.0,503828.0,47943.0,616352.0,84601.0,31983.0,0.0,0.0
53821.0,13682.0,2250.0,42676.0,13732.0,183780.0,90767.0,6280.0,0.0,0.0
305055.0,135502.0,69348.0,540444.0,45757.0,317451.0,95804.0,30828.0,0.0,0.0
142746.0,55644.0,10702.0,307687.0,30119.0,559007.0,108835.0,58165.0,0.0,0.0
114329.0,30828.0,44643.0,363652.0,38640.0,166910.0,90247.0,15682.0,0.0,0.0
129250.0,58244.0,51163.0,656022.0,139167.0,563577.0,147444.0,8676.0,0.0,0.0
478821.0,62953.0,52771.0,417549.0,70852.0,226787.0,159844.0,74760.0,0.0,0.0
111291.0,18706.0,8910.0,75083.0,16951.0,108670.0,11520.0,29524.0,0.0,0.0
31807.0,17942.0,19118.0,157906.0,11587.0,49584.0,39265.0,14680.0,0.0,0.0
116897.0,55753.0,42365.0,971578.0,13793.0,346867.0,118935.0,39057.0,0.0,0.0
56037.0,53387.0,19785.0,541322.0,23900.0,54140.0,14696.0,6178.0,0.0,0.0
91937.0,37669.0,10153.0,60837.0,16083.0,139127.0,50108.0,3838.0,0.0,0.0
90902.0,33589.0,26861.0,57353.0,18887.0,97406.0,23672.0,14851.0,0.0,0.0
55317.0,18887.0,16899.0,95442.0,10422.0,69961.0,41726.0,19177.0,0.0,0.0
162789.0,50785.0,9208.0,441611.0,11585.0,330532.0,154001.0,37915.0,0.0,0.0
214001.0,92958.0,40689.0,1816783.0,57334.0,395382.0,134734.0,55002.0,0.0,0.0
578246.0,61312.0,41462.0,357774.0,20307.0,234885.0,335364.0,34607.0,0.0,0.0
288109.0,52452.0,56385.0,439591.0,19498.0,146681.0,178870.0,55210.0,0.0,0.0
152166.0,71322.0,5816.0,379165.0,11791.0,525358.0,61546.0,20098.0,0.0,0.0
166172.0,29814.0,18748.0,780540.0,35289.0,353929.0,442815.0,100748.0,0.0,0.0
215982.0,41607.0,42396.0,1658118.0,50936.0,178857.0,162750.0,116900.0,0.0,0.0
468944.0,79923.0,38004.0,359679.0,92855.0,266514.0,165662.0,104550.0,0.0,0.0
516270.0,85113.0,15922.0,502937.0,73570.0,317017.0,65283.0,46473.0,0.0,0.0
323400.0,102301.0,68637.0,472434.0,44652.0,134623.0,191010.0,71353.0,0.0,0.0
72507.0,7094.0,7546.0,62687.0,5299.0,141961.0,70064.0,1909.0,0.0,0.0
715694.0,197851.0,61753.0,1091722.0,99004.0,1194154.0,309772.0,84838.0,0.0,0.0
157016.0,106513.0,21469.0,1425729.0,35633.0,503640.0,121386.0,12692.0,0.0,0.0
107873.0,43498.0,9313.0,15872.0,31181.0,303525.0,27884.0,10347.0,0.0,0.0
360957.0,59575.0,74548.0,471816.0,17122.0,213842.0,408198.0,94499.0,0.0,0.0
213883.0,38517.0,53389.0,30497.0,32396.0,341673.0,67523.0,124566.0,0.0,0.0
192963.0,80862.0,52859.0,928382.0,19344.0,231082.0,271375.0,175682.0,0.0,0.0
340347.0,33560.0,53666.0,1519229.0,20569.0,352968.0,160819.0,16745.0,0.0,0.0
224300.0,87021.0,45024.0,274773.0,30221.0,253435.0,239638.0,44302.0,0.0,0.0
57256.0,37033.0,6403.0,34252.0,57745.0,268924.0,39240.0,9798.0,0.0,0.0
134770.0,48306.0,9774.0,753713.0,20398.0,627999.0,132549.0,14803.0,0.0,0.0
181328.0,47754.0,29071.0,862572.0,9936.0,306514.0,285631.0,19049.0,0.0,0.0
105608.0,115988.0,42313.0,1309769.0,38151.0,574917.0,228479.0,16828.0,0.0,0.0
235874.0,43559.0,26529.0,103094.0,19515.0,183575.0,641999.0,67787.0,0.0,0.0
60295.0,21582.0,10343.0,39290.0,23946.0,220513.0,23624.0,6034.0,0.0,0.0
150624.0,23986.0,42920.0,380068.0,60999.0,430636.0,140834.0,33534.0,0.0,0.0
195462.0,185078.0,32404.0,722992.0,50193.0,482253.0,46934.0,17317.0,0.0,0.0
42325.0,33039.0,9482.0,76515.0,6522.0,204642.0,46917.0,3702.0,0.0,0.0
375805.0,146498.0,29476.0,370189.0,46482.0,277345.0,473462.0,37344.0,0.0,0.0
304892.0,82024.0,23994.0,811391.0,23884.0,293968.0,42802.0,22172.0,0.0,0.0
126136.0,39493.0,31811.0,250856.0,103842.0,106862.0,1666225.0,194535.0,0.0,0.0
132712.0,31000.0,17641.0,982530.0,25100.0,258904.0,198600.0,39393.0,0.0,0.0
254264.0,73596.0,23245.0,550677.0,34648.0,430732.0,181047.0,49769.0,0.0,0.0
203682.0,115927.0,62750.0,643488.0,90824.0,749470.0,121368.0,64106.0,0.0,0.0
116614.0,37315.0,20958.0,2283733.0,101920.0,171158.0,165349.0,106008.0,0.0,0.0
134844.0,60200.0,41634.0,1059964.0,31158.0,227217.0,174031.0,161299.0,0.0,0.0
266118.0,55514.0,121336.0,1587174.0,41956.0,299094.0,192716.0,15615.0,0.0,0.0
44867.0,14670.0,15320.0,23041.0,14739.0,278884.0,66602.0,4410.0,0.0,0.0
95501.0,23195.0,27493.0,72239.0,11285.0,164389.0,25345.0,10456.0,0.0,0.0
37477.0,12472.0,4894.0,26466.0,4936.0,146491.0,22921.0,4810.0,0.0,0.0
255368.0,27588.0,34171.0,1448988.0,91927.0,283425.0,120057.0,19479.0,0.0,0.0
44173.0,18900.0,13617.0,244710.0,15728.0,184605.0,30225.0,7074.0,0.0,0.0
400674.0,87794.0,34405.0,218401.0,50944.0,245302.0,149524.0,49586.0,0.0,0.0
454598.0,42347.0,112330.0,458692.0,74921.0,211991.0,254939.0,28023.0,0.0,0.0
189396.0,89481.0,58004.0,1623425.0,31314.0,170728.0,153228.0,11328.0,0.0,0.0
167971.0,36014.0,9931.0,360616.0,33733.0,209222.0,712273.0,44120.0,0.0,0.0
236388.0,71088.0,55098.0,1630989.0,30716.0,244721.0,149778.0,24653.0,0.0,0.0
119914.0,77716.0,87680.0,372028.0,29203.0,363601.0,54219.0,74557.0,0.0,0.0
778144.0,347562.0,132657.0,2007603.0,113876.0,1019646.0,757097.0,174019.0,0.0,0.0
142468.0,42616.0,33085.0,1625939.0,19589.0,307764.0,209728.0,15040.0,0.0,0.0
